Time_ns,Protein_RMSD,Ligand_RMSD
0.0,0.0,0.0
0.01,0.66663617,0.1530367
0.02,0.87917143,0.40356845
0.03,0.9622211,0.25071585
0.04,1.1227553,0.35289848
0.05,1.2165668,0.25055563
0.06,1.1032573,0.21843784
0.07,1.1331716,0.2405628
0.08,1.4864523,0.2967922
0.09,1.4686669,0.4475466
0.1,1.1855109,0.14239688
0.11,1.2333555,0.25831586
0.12,1.2489552,0.30024543
0.13,1.3575679,0.23370749
0.14,1.4768174,0.29541916
0.15,1.3874613,0.30902538
0.16,1.552791,0.17997512
0.17,1.36586,0.22730005
0.18,1.3284951,0.2050567
0.19,1.5033398,0.28915113
0.2,1.4119531,0.18717633
0.21,1.3016535,0.17993677
0.22,1.3283037,0.3222929
0.23,1.4329189,0.30683094
0.24,1.5710055,0.2647642
0.25,1.5207086,0.33624113
0.26,1.450827,0.28345114
0.27,1.6133227,0.3796235
0.28,1.7207217,0.252546
0.29,1.4048629,0.2219709
0.3,1.5132091,0.1972655
0.31,1.5685105,0.38910258
0.32,1.3273077,0.29417625
0.33,1.5700771,0.3044373
0.34,1.4107399,0.35048112
0.35,1.4116528,0.11011
0.36,1.2364856,0.3241622
0.37,1.438033,0.1804208
0.38,1.3293881,0.2946962
0.39,1.2205182,0.25757885
0.4,1.1919718,0.16494644
0.41,1.3320255,0.23966917
0.42,1.5067191,0.36161107
0.43,1.4029789,0.2640642
0.44,1.4344918,0.22523978
0.45,1.6593876,0.2218069
0.46,1.7452095,0.44160658
0.47,1.7537279,0.26026857
0.48,1.7384154,0.2667591
0.49,1.7035509,0.1214468
0.5,1.6444442,0.34975892
0.51,1.4779994,0.3620879
0.52,1.6036783,0.40896133
0.53,1.4777241,0.24624401
0.54,1.3581548,0.34332988
0.55,1.2133572,0.2511434
0.56,1.2914146,0.21718769
0.57,1.2719429,0.25013205
0.58,1.2627792,0.18579693
0.59,1.3071645,0.3749907
0.6,1.2153258,0.31605557
0.61,1.2884836,0.10120877
0.62,1.2203932,0.20647761
0.63,1.4047542,0.24665645
0.64,1.2580442,0.39132628
0.65,1.2854273,0.24323177
0.66,1.2387733,0.16603453
0.67,1.2709694,0.35407525
0.68,1.2889311,0.1777547
0.69,1.306983,0.32134736
0.7,1.2501221,0.2948856
0.71,1.2216706,0.31789637
0.72,1.0874072,0.28550225
0.73,1.1001333,0.27038938
0.74,1.071908,0.35216343
0.75,0.89311904,0.24138296
0.76,1.0313783,0.34841454
0.77,1.0035845,0.17689137
0.78,1.1395127,0.25363427
0.79,1.314885,0.21077217
0.8,1.1493495,0.40596023
0.81,1.276015,0.1943916
0.82,1.310442,0.20494959
0.83,1.4249814,0.22575453
0.84,1.1840799,0.26508865
0.85,1.1498362,0.2538964
0.86,1.2344272,0.19359274
0.87,1.0644321,0.26197937
0.88,1.0142385,0.35733664
0.89,0.97433776,0.2555344
0.9,1.04139,0.17570986
0.91,1.0163425,0.26548123
0.92,1.1305053,0.2346479
0.93,1.19861,0.33441496
0.94,1.1939898,0.35813463
0.95,1.1391406,0.3021971
0.96,1.2020141,0.29029024
0.97,1.1693404,0.28015378
0.98,1.0639224,0.13149284
0.99,1.1649972,0.2140069
1.0,1.1654046,0.33886376
1.01,1.1243095,0.1345912
1.02,1.0900545,0.19566554
1.03,1.1335456,0.2448207
1.04,1.17651,0.27162108
1.05,0.9801843,0.3007382
1.06,1.1883963,0.23318069
1.07,1.1572584,0.18744431
1.08,0.9744595,0.24513827
1.09,1.2767324,0.19754201
1.1,1.1538985,0.24571858
1.11,1.266533,0.15273713
1.12,1.3017577,0.34312877
1.13,1.2125745,0.32618427
1.14,1.2094384,0.4171275
1.15,1.1140842,0.22968896
1.16,1.0379817,0.22080329
1.17,1.1253495,0.24730423
1.18,1.2040998,0.21454275
1.19,0.9789554,0.27034068
1.2,1.0485935,0.3092669
1.21,0.9895148,0.2769531
1.22,1.0643685,0.19334301
1.23,1.1103039,0.24879658
1.24,1.119943,0.19452065
1.25,1.2419991,0.33225036
1.26,1.3478166,0.40012097
1.27,1.2916903,0.1461542
1.28,1.2797167,0.24023396
1.29,1.0980817,0.31245983
1.3,1.1258316,0.19372232
1.31,1.1163039,0.16846913
1.32,1.1392596,0.19451743
1.33,1.0706577,0.32070822
1.34,1.1780796,0.2996828
1.35,1.0585065,0.13725463
1.36,1.0214343,0.14187601
1.37,0.9614455,0.13316652
1.38,1.0245501,0.17861739
1.39,1.2175976,0.21880232
1.4,0.97030985,0.2712281
1.41,1.0194739,0.21563372
1.42,1.021451,0.35234332
1.43,1.1478438,0.2392657
1.44,1.1049925,0.17278242
1.45,1.1033342,0.28935286
1.46,1.1304153,0.22902696
1.47,1.1394383,0.22681923
1.48,1.1067555,0.3142718
1.49,1.1586347,0.1701626
1.5,0.966616,0.1737565
1.51,1.1598632,0.33207282
1.52,1.1976902,0.16743061
1.53,1.233053,0.2994545
1.54,1.179101,0.24039583
1.55,1.0862997,0.27227628
1.56,1.038439,0.30455685
1.57,1.1597171,0.16905653
1.58,1.0053061,0.38920093
1.59,0.9972972,0.200095
1.6,1.1398102,0.2014388
1.61,0.9377893,0.18956451
