Time_ps,RMSD_Å
0.0,0.0
10.0,0.9470764
20.0,1.2039117
30.0,1.3986182
40.0,1.5096402
50.0,1.6147782
60.0,1.4871572
70.0,1.5061715
80.0,1.8047938
90.0,1.7864792
100.0,1.5974133
110.0,1.6286784
120.0,1.6579847
130.0,1.8349575
140.0,1.905587
150.0,1.8794508
160.0,1.9361223
170.0,1.8754456
180.0,1.9260237
190.0,2.0480168
200.0,1.9917605
210.0,1.9900901
220.0,2.0602114
230.0,2.1802998
240.0,2.3429122
250.0,2.3675957
260.0,2.1040158
270.0,2.3135278
280.0,2.356375
290.0,2.0771103
300.0,2.1507607
310.0,2.2345548
320.0,1.9699788
330.0,2.2200372
340.0,2.078767
350.0,2.0353222
360.0,1.8975375
370.0,2.0332687
380.0,1.9878218
390.0,1.9382185
400.0,1.8994651
410.0,1.952281
420.0,2.1321104
430.0,2.1336226
440.0,2.1501079
450.0,2.4152722
460.0,2.4914832
470.0,2.497345
480.0,2.4619784
490.0,2.4812407
500.0,2.4502354
510.0,2.3845518
520.0,2.358544
530.0,2.3368416
540.0,2.1791344
550.0,2.1056037
560.0,2.1392932
570.0,2.1717603
580.0,2.1403008
590.0,2.1342647
600.0,2.1316872
610.0,2.0974772
620.0,2.0896711
630.0,2.1798859
640.0,2.0992372
650.0,2.085805
660.0,2.1910112
670.0,2.1451125
680.0,2.2334778
690.0,2.276334
700.0,2.099659
710.0,1.9881327
720.0,1.8964362
730.0,1.8454819
740.0,1.8187761
750.0,1.789834
760.0,1.8105345
770.0,1.7545878
780.0,1.9689097
790.0,2.025611
800.0,1.8479341
810.0,2.0237951
820.0,2.0120277
830.0,2.0481637
840.0,1.9146765
850.0,1.8351303
860.0,1.9133233
870.0,1.8178021
880.0,1.7734861
890.0,1.6772144
900.0,1.7437159
910.0,1.7774675
920.0,1.9069369
930.0,1.9320183
940.0,1.8909652
950.0,1.8442681
960.0,1.8974845
970.0,1.871887
980.0,1.7930243
990.0,1.8387692
1000.0,1.85291
1010.0,1.8645524
1020.0,1.8285441
1030.0,1.9181297
1040.0,1.8704492
1050.0,1.815263
1060.0,1.8821518
1070.0,1.8686258
1080.0,1.8431079
1090.0,2.0806391
1100.0,1.9820465
1110.0,2.1037457
1120.0,2.1147976
1130.0,2.0086613
1140.0,2.1035552
1150.0,1.98401
1160.0,1.9627554
1170.0,2.0340903
1180.0,2.0737047
1190.0,1.8926965
1200.0,1.9538211
1210.0,1.9603531
1220.0,1.9307377
1230.0,1.9374166
1240.0,1.9442271
1250.0,2.0339015
1260.0,2.1220627
1270.0,2.1104946
1280.0,1.9938483
1290.0,2.0785902
1300.0,1.9648147
1310.0,2.0673044
1320.0,1.9819285
1330.0,1.9567182
1340.0,2.0957236
1350.0,1.9595857
1360.0,1.8955196
1370.0,1.8744295
1380.0,1.9377441
1390.0,1.965563
1400.0,1.8126559
1410.0,1.8464957
1420.0,1.829622
1430.0,1.8487297
1440.0,1.8508978
1450.0,1.892873
1460.0,1.8672571
1470.0,1.8319862
1480.0,1.9955407
1490.0,1.9814056
1500.0,1.7971668
1510.0,1.9053853
1520.0,1.9259889
1530.0,1.8917781
1540.0,1.8191987
1550.0,1.8041918
1560.0,1.8054973
1570.0,1.9023396
1580.0,1.7932758
