Time_ps,Protein_RMSD
0.0,0.0
10.0,0.66663617
20.0,0.87917143
30.0,0.9622211
40.0,1.1227553
50.0,1.2165668
60.0,1.1032573
70.0,1.1331716
80.0,1.4864523
90.0,1.4686669
100.0,1.1855109
110.0,1.2333555
120.0,1.2489552
130.0,1.3575679
140.0,1.4768174
150.0,1.3874613
160.0,1.552791
170.0,1.36586
180.0,1.3284951
190.0,1.5033398
200.0,1.4119531
210.0,1.3016535
220.0,1.3283037
230.0,1.4329189
240.0,1.5710055
250.0,1.5207086
260.0,1.450827
270.0,1.6133227
280.0,1.7207217
290.0,1.4048629
300.0,1.5132091
310.0,1.5685105
320.0,1.3273077
330.0,1.5700771
340.0,1.4107399
350.0,1.4116528
360.0,1.2364856
370.0,1.438033
380.0,1.3293881
390.0,1.2205182
400.0,1.1919718
410.0,1.3320255
420.0,1.5067191
430.0,1.4029789
440.0,1.4344918
450.0,1.6593876
460.0,1.7452095
470.0,1.7537279
480.0,1.7384154
490.0,1.7035509
500.0,1.6444442
510.0,1.4779994
520.0,1.6036783
530.0,1.4777241
540.0,1.3581548
550.0,1.2133572
560.0,1.2914146
570.0,1.2719429
580.0,1.2627792
590.0,1.3071645
600.0,1.2153258
610.0,1.2884836
620.0,1.2203932
630.0,1.4047542
640.0,1.2580442
650.0,1.2854273
660.0,1.2387733
670.0,1.2709694
680.0,1.2889311
690.0,1.306983
700.0,1.2501221
710.0,1.2216706
720.0,1.0874072
730.0,1.1001333
740.0,1.071908
750.0,0.89311904
760.0,1.0313783
770.0,1.0035845
780.0,1.1395127
790.0,1.314885
800.0,1.1493495
810.0,1.276015
820.0,1.310442
830.0,1.4249814
840.0,1.1840799
850.0,1.1498362
860.0,1.2344272
870.0,1.0644321
880.0,1.0142385
890.0,0.97433776
900.0,1.04139
910.0,1.0163425
920.0,1.1305053
930.0,1.19861
940.0,1.1939898
950.0,1.1391406
960.0,1.2020141
970.0,1.1693404
980.0,1.0639224
990.0,1.1649972
1000.0,1.1654046
1010.0,1.1243095
1020.0,1.0900545
1030.0,1.1335456
1040.0,1.17651
1050.0,0.9801843
1060.0,1.1883963
1070.0,1.1572584
1080.0,0.9744595
1090.0,1.2767324
1100.0,1.1538985
1110.0,1.266533
1120.0,1.3017577
1130.0,1.2125745
1140.0,1.2094384
1150.0,1.1140842
1160.0,1.0379817
1170.0,1.1253495
1180.0,1.2040998
1190.0,0.9789554
1200.0,1.0485935
1210.0,0.9895148
1220.0,1.0643685
1230.0,1.1103039
1240.0,1.119943
1250.0,1.2419991
1260.0,1.3478166
1270.0,1.2916903
1280.0,1.2797167
1290.0,1.0980817
1300.0,1.1258316
1310.0,1.1163039
1320.0,1.1392596
1330.0,1.0706577
