Time_ps,RMSD_Å
0.0,0.0
10.0,0.9502269
20.0,1.2051941
30.0,1.4044623
40.0,1.5150005
50.0,1.6223383
60.0,1.4938464
70.0,1.5130336
80.0,1.8085
90.0,1.795317
100.0,1.6023905
110.0,1.638134
120.0,1.665492
130.0,1.8420457
140.0,1.9136286
150.0,1.8887913
160.0,1.945101
170.0,1.8841904
180.0,1.9351597
190.0,2.0588286
200.0,2.0001729
210.0,1.9996231
220.0,2.0669482
230.0,2.1903677
240.0,2.3532486
250.0,2.3755672
260.0,2.1120493
270.0,2.3118973
280.0,2.3660474
290.0,2.0872304
300.0,2.1613405
310.0,2.2420661
320.0,1.9711518
330.0,2.23065
340.0,2.0890617
350.0,2.0462582
360.0,1.9047667
370.0,2.0447114
380.0,1.9951929
390.0,1.9466401
400.0,1.9077045
410.0,1.962886
420.0,2.1433632
430.0,2.143821
440.0,2.1613328
450.0,2.429851
460.0,2.5042937
470.0,2.5115123
480.0,2.4752572
490.0,2.494207
500.0,2.4626138
510.0,2.3956733
520.0,2.3679345
530.0,2.3496296
540.0,2.1883583
550.0,2.1174736
560.0,2.1492832
570.0,2.1791463
580.0,2.1467311
590.0,2.1419814
600.0,2.1423922
610.0,2.1079597
620.0,2.0981047
630.0,2.1902518
640.0,2.1111999
650.0,2.09377
660.0,2.202684
670.0,2.1565053
680.0,2.240677
690.0,2.286214
700.0,2.1098452
710.0,1.9971592
720.0,1.9024469
730.0,1.8544767
740.0,1.8285031
750.0,1.798302
760.0,1.8197381
770.0,1.7626104
780.0,1.9772624
790.0,2.0340757
800.0,1.8565283
810.0,2.0333354
820.0,2.0226483
830.0,2.0551767
840.0,1.9221942
850.0,1.8448722
860.0,1.9230654
870.0,1.8245108
880.0,1.7789676
890.0,1.6871816
900.0,1.7512084
910.0,1.7876391
920.0,1.9174354
930.0,1.9396658
940.0,1.8997325
950.0,1.8505952
960.0,1.9048644
970.0,1.8782907
980.0,1.8014699
990.0,1.8415862
1000.0,1.8558629
1010.0,1.872779
1020.0,1.8372356
1030.0,1.9267745
1040.0,1.8798393
1050.0,1.8256419
1060.0,1.891575
1070.0,1.875018
1080.0,1.8512625
1090.0,2.0892804
1100.0,1.990906
1110.0,2.1146193
1120.0,2.123848
1130.0,2.0166168
1140.0,2.109284
1150.0,1.9953626
1160.0,1.9724475
1170.0,2.041233
1180.0,2.0839937
1190.0,1.9025182
1200.0,1.9643594
1210.0,1.9668641
1220.0,1.9414793
1230.0,1.9472919
1240.0,1.9532083
1250.0,2.043743
1260.0,2.1297429
1270.0,2.1202204
1280.0,2.004001
1290.0,2.0863955
1300.0,1.9757043
1310.0,2.078018
1320.0,1.9899285
1330.0,1.9667351
1340.0,2.1071892
1350.0,1.9689791
1360.0,1.904891
1370.0,1.8817375
1380.0,1.9466661
1390.0,1.9742137
1400.0,1.8220146
1410.0,1.8546408
1420.0,1.838101
1430.0,1.8581133
1440.0,1.8606156
1450.0,1.9026338
1460.0,1.8743862
1470.0,1.8396835
1480.0,2.004305
1490.0,1.9891462
1500.0,1.8054194
1510.0,1.9151309
1520.0,1.9356842
1530.0,1.8977367
1540.0,1.8274758
1550.0,1.8122756
1560.0,1.8106318
1570.0,1.9119567
1580.0,1.801423
1590.0,1.7177801
1600.0,1.8699944
1610.0,1.774492
1620.0,1.7008743
1630.0,1.7723836
1640.0,1.9852126
1650.0,1.9133366
1660.0,2.003486
1670.0,2.130013
1680.0,2.1452806
1690.0,2.0162055
1700.0,2.1354153
1710.0,2.188861
1720.0,2.2429035
1730.0,2.3779235
1740.0,2.2975972
1750.0,2.378706
1760.0,2.3340025
1770.0,2.4611568
1780.0,2.466959
1790.0,2.52108
1800.0,2.3183432
1810.0,2.178626
1820.0,2.0483572
1830.0,2.031654
1840.0,2.1396184
1850.0,2.163062
1860.0,2.0659986
1870.0,2.0813942
1880.0,1.9696492
1890.0,2.021862
