ChainA_Label,ChainA_ID,ChainA_Type,ChainA_Anchor,ChainB_Label,ChainB_ID,ChainB_Type,ChainB_Anchor,ContactFraction,MeanMinDistance_A,MinObservedDistance_A
RRNA-A,A,RNA,C4',RNA-B,B,RNA,C4',1.0,2.4953862738150816,2.3575155436992645
RNA-B,B,RNA,C4',RNA-C,C,RNA,C4',1.0,2.515906674357561,2.4075910449028015
RNA-C,C,RNA,C4',UOE-C,F,protein,CA,0.23076923076923078,4.151517095474096,3.8691219687461853
RNA-B,B,RNA,C4',UOE-B,E,protein,CA,0.19230769230769232,4.243010649314294,3.816867172718048
RRNA-A,A,RNA,C4',UOE-A,D,protein,CA,0.11538461538461539,4.531850184385593,3.6754029989242554
UOE-A,D,protein,CA,UOE-C,F,protein,CA,0.07692307692307693,4.301246461959986,3.853332996368408
UOE-A,D,protein,CA,UOE-B,E,protein,CA,0.0,5.251048402144359,4.4341495633125305
UOE-B,E,protein,CA,UOE-C,F,protein,CA,0.0,5.667171386572031,4.912578463554382
RNA-C,C,RNA,C4',UOE-B,E,protein,CA,0.0,7.568945907629454,6.708464622497559
RNA-B,B,RNA,C4',UOE-A,D,protein,CA,0.0,7.832233584844149,7.092033624649048
RNA-B,B,RNA,C4',UOE-C,F,protein,CA,0.0,8.809150480307066,7.460104823112488
RRNA-A,A,RNA,C4',UOE-C,F,protein,CA,0.0,9.432716369628906,8.756353259086609
RRNA-A,A,RNA,C4',UOE-B,E,protein,CA,0.0,9.787840797350956,8.47034752368927
RNA-C,C,RNA,C4',UOE-A,D,protein,CA,0.0,20.870433449745178,19.383443593978882
RRNA-A,A,RNA,C4',RNA-C,C,RNA,C4',0.0,23.52771126306974,20.9771990776062
