Time_ns,RRNA-A__vs__RNA-B_contact,RRNA-A__vs__RNA-B_min_distance_A,RRNA-A__vs__RNA-C_contact,RRNA-A__vs__RNA-C_min_distance_A,RRNA-A__vs__UOE-A_contact,RRNA-A__vs__UOE-A_min_distance_A,RRNA-A__vs__UOE-B_contact,RRNA-A__vs__UOE-B_min_distance_A,RRNA-A__vs__UOE-C_contact,RRNA-A__vs__UOE-C_min_distance_A,RNA-B__vs__RNA-C_contact,RNA-B__vs__RNA-C_min_distance_A,RNA-B__vs__UOE-A_contact,RNA-B__vs__UOE-A_min_distance_A,RNA-B__vs__UOE-B_contact,RNA-B__vs__UOE-B_min_distance_A,RNA-B__vs__UOE-C_contact,RNA-B__vs__UOE-C_min_distance_A,RNA-C__vs__UOE-A_contact,RNA-C__vs__UOE-A_min_distance_A,RNA-C__vs__UOE-B_contact,RNA-C__vs__UOE-B_min_distance_A,RNA-C__vs__UOE-C_contact,RNA-C__vs__UOE-C_min_distance_A,UOE-A__vs__UOE-B_contact,UOE-A__vs__UOE-B_min_distance_A,UOE-A__vs__UOE-C_contact,UOE-A__vs__UOE-C_min_distance_A,UOE-B__vs__UOE-C_contact,UOE-B__vs__UOE-C_min_distance_A
0.0,1,2.429428994655609,0,20.9771990776062,0,4.495697617530823,0,9.286468029022217,0,9.11799967288971,1,2.4741457402706146,0,7.464699745178223,0,4.335271716117859,0,9.553984999656677,0,19.383443593978882,0,7.073570489883423,0,4.115105867385864,0,5.129261612892151,0,4.105374813079834,0,5.827362537384033
0.01,1,2.5474917888641357,0,23.440706729888916,0,5.241695046424866,0,9.925665855407715,0,9.772356152534485,1,2.521231472492218,0,7.4292731285095215,0,4.42010223865509,0,10.61797022819519,0,19.676718711853027,0,7.804709076881409,0,4.3786972761154175,0,4.900489449501038,0,4.3056899309158325,0,5.986417531967163
0.02,1,2.3575155436992645,0,24.992482662200928,0,5.7794201374053955,0,8.899715542793274,0,9.43716824054718,1,2.5709909200668335,0,7.412155866622925,0,4.257522821426392,0,9.9936443567276,0,21.72295093536377,0,7.3752641677856445,0,4.066848158836365,0,5.715355277061462,0,4.358138740062714,0,6.243508458137512
0.03,1,2.4534839391708374,0,23.849220275878906,0,5.921502113342285,0,10.227241516113281,0,9.482892155647278,1,2.5339630246162415,0,7.749795317649841,0,4.516323208808899,0,8.64104151725769,0,20.838916301727295,0,7.973584532737732,0,4.260724782943726,0,5.629075765609741,0,4.7721171379089355,0,5.9000056982040405
0.04,1,2.473321557044983,0,24.07853603363037,0,5.043421983718872,0,10.981481075286865,0,9.17985200881958,1,2.545936405658722,0,8.077991604804993,0,4.462846517562866,0,8.631834387779236,0,21.40507936477661,0,8.282148838043213,0,4.212801158428192,0,5.294721722602844,0,4.203271865844727,0,5.904967188835144
0.05,1,2.544911801815033,0,22.852871417999268,0,5.116817355155945,0,9.07727301120758,0,9.041610360145569,1,2.5149595737457275,0,7.73802638053894,0,4.460651874542236,0,9.484334588050842,0,21.25563383102417,0,7.164992690086365,0,4.322293996810913,0,5.595616102218628,0,4.05527800321579,0,5.66337525844574
0.06,1,2.531842589378357,0,23.242530822753906,0,4.658127427101135,0,9.474152326583862,0,10.125563144683838,1,2.4671608209609985,0,8.149753212928772,0,4.4505491852760315,0,9.970124959945679,0,20.902633666992188,0,7.142783999443054,0,4.070455431938171,0,5.510764718055725,0,4.520774483680725,0,5.909368395805359
0.07,1,2.4685214459896088,0,23.822360038757324,0,4.8369017243385315,0,9.53509509563446,0,9.015018939971924,1,2.530353367328644,0,7.855991721153259,0,4.285192489624023,0,9.19729232788086,0,19.87686276435852,0,7.276762127876282,0,4.352392554283142,0,5.5842190980911255,0,4.371783435344696,0,5.686531662940979
0.08,1,2.529449462890625,0,23.51278781890869,0,4.404782652854919,0,10.128403902053833,0,9.086576700210571,1,2.5685426592826843,0,7.5525712966918945,0,4.570437967777252,0,8.604257702827454,0,20.262997150421143,0,7.897511720657349,1,3.9577141404151917,0,5.450515151023865,0,4.482870995998383,0,5.879529118537903
0.09,1,2.5080040097236633,0,21.9437313079834,0,4.426034986972809,0,9.091575145721436,0,9.630767107009888,1,2.45569184422493,0,8.089266419410706,0,4.369952380657196,0,8.438800573348999,0,20.92310667037964,0,7.693760395050049,0,4.5746394991874695,0,5.712528824806213,0,4.599000811576843,0,5.831654667854309
